goal,avg_calories,workout_type
Flexibility,2057,cardio
Flexibility,2176,cardio
Flexibility,2244,cardio
Flexibility,2145,cardio
Flexibility,2298,cardio
Flexibility,2029,stretching
Flexibility,2236,stretching
Flexibility,2143,stretching
Flexibility,1810,stretching
Flexibility,1911,stretching
Flexibility,2283,stretching
Flexibility,2017,stretching
Flexibility,1831,stretching
Flexibility,2076,stretching
Flexibility,2262,stretching
Flexibility,2128,HIIT
Flexibility,1884,HIIT
Flexibility,1929,HIIT
Flexibility,1992,HIIT
Flexibility,1996,HIIT
Flexibility,2131,HIIT
Flexibility,1892,HIIT
Flexibility,1860,HIIT
Flexibility,2294,HIIT
Flexibility,2102,HIIT
Flexibility,2184,yoga
Flexibility,1875,yoga
Flexibility,2013,yoga
Flexibility,2082,yoga
Flexibility,2129,yoga
Flexibility,1957,yoga
Flexibility,2198,yoga
Flexibility,1896,yoga
Flexibility,1988,yoga
Flexibility,2211,yoga
Flexibility,2046,pilates
Flexibility,2240,pilates
Flexibility,1891,pilates
Flexibility,2069,pilates
Flexibility,2082,pilates
Flexibility,1880,pilates
Flexibility,2218,pilates
Flexibility,2132,pilates
Flexibility,1864,pilates
Flexibility,2168,pilates
Flexibility,2225,cycling
Flexibility,1997,cycling
Flexibility,2242,cycling
Flexibility,1819,cycling
Flexibility,2168,cycling
Flexibility,2266,cycling
Flexibility,1947,cycling
Flexibility,1949,cycling
Flexibility,2025,cycling
Flexibility,2211,cycling
Flexibility,1992,running
Flexibility,1944,running
Flexibility,1947,running
Flexibility,1920,running
Flexibility,2268,running
Flexibility,1806,running
Flexibility,2174,running
Flexibility,1962,running
Flexibility,2192,running
Flexibility,2256,running
Flexibility,2249,swimming
Flexibility,2211,swimming
Flexibility,1887,swimming
Flexibility,2129,swimming
Flexibility,2064,swimming
Flexibility,2115,swimming
Flexibility,2079,swimming
Flexibility,2137,swimming
Flexibility,1842,swimming
Flexibility,2055,swimming
Endurance,2258,strength
Endurance,2270,strength
Endurance,2319,strength
Endurance,2551,strength
Endurance,2766,strength
Endurance,2492,strength
Endurance,2777,strength
Endurance,2273,strength
Endurance,2714,strength
Endurance,2357,strength
Endurance,2386,cardio
Endurance,2389,cardio
Endurance,2685,cardio
Endurance,2591,cardio
Endurance,2299,cardio
Endurance,2746,cardio
Endurance,2400,cardio
Endurance,2254,cardio
Endurance,2775,cardio
Endurance,2719,cardio
Endurance,2294,stretching
Endurance,2317,stretching
Endurance,2379,stretching
Endurance,2346,stretching
Endurance,2776,stretching
Endurance,2445,stretching
Endurance,2392,stretching
Endurance,2468,stretching
Endurance,2517,stretching
Endurance,2401,stretching
Endurance,2407,HIIT
Endurance,2770,HIIT
Endurance,2619,HIIT
Endurance,2399,HIIT
Endurance,2723,HIIT
Endurance,2723,HIIT
Endurance,2338,HIIT
Endurance,2383,HIIT
Endurance,2389,HIIT
Endurance,2479,HIIT
Endurance,2521,yoga
Endurance,2721,yoga
Endurance,2517,yoga
Endurance,2489,yoga
Endurance,2769,yoga
Endurance,2529,yoga
Endurance,2224,yoga
Endurance,2719,yoga
Endurance,2667,yoga
Endurance,2522,yoga
Endurance,2285,pilates
Endurance,2433,pilates
Endurance,2732,pilates
Endurance,2364,pilates
Endurance,2562,pilates
Endurance,2574,pilates
Endurance,2473,pilates
Endurance,2470,pilates
Endurance,2715,pilates
Endurance,2607,pilates
Endurance,2291,cycling
Endurance,2264,cycling
Endurance,2288,cycling
Endurance,2367,cycling
Endurance,2573,cycling
Endurance,2579,cycling
Endurance,2294,cycling
Endurance,2329,cycling
Endurance,2722,cycling
Endurance,2716,cycling
Endurance,2208,running
Endurance,2672,running
Endurance,2590,running
Endurance,2678,running
Endurance,2324,running
Endurance,2604,running
Endurance,2527,running
Endurance,2404,running
Endurance,2447,running
Endurance,2765,running
Endurance,2319,swimming
Endurance,2580,swimming
Endurance,2386,swimming
Endurance,2467,swimming
Endurance,2657,swimming
Endurance,2202,swimming
Endurance,2544,swimming
Endurance,2590,swimming
Endurance,2676,swimming
Endurance,2242,swimming
